grid_id,area_km2,distance_to_bell_m,distance_to_bell_km,final_grid_id,poi_total,final_grid_id_cat,catering,life_service,shopping,poi_density,road_length_m,road_density_km_per_km2,intersection_count,mean_intersection_degree,intersection_density_n_per_km2,model_fitted,model_residual
1214,0.25,4632.049923140565,4.632049923140564,1214.0,276.0,1214.0,95.0,64.0,117.0,1104.0,2731.039001144778,10.924156004579112,11.0,3.3636363636363638,44.0,524.1075523555751,579.8924476444249
1218,0.25,4966.762467643628,4.966762467643628,1218.0,219.0,1218.0,74.0,45.0,100.0,876.0,3219.7927343755127,12.879170937502051,5.0,3.2,20.0,455.1951608998831,420.8048391001169
1219,0.25,4877.895573863042,4.877895573863042,1219.0,177.0,1219.0,84.0,55.0,38.0,708.0,3357.094237816463,13.428376951265852,11.0,3.6363636363636362,44.0,521.2603571691276,186.7396428308724
1220,0.25,4839.318242173363,4.839318242173363,1220.0,24.0,1220.0,6.0,12.0,6.0,96.0,2886.114810419039,11.544459241676154,3.0,3.0,12.0,449.5443513864576,-353.5443513864576
1221,0.25,4481.185368848932,4.481185368848932,1221.0,540.0,1221.0,195.0,147.0,198.0,2160.0,2659.8509335884028,10.63940373435361,7.0,3.5714285714285716,28.0,571.4637854578018,1588.5362145421982
1222,0.25,4382.483100880706,4.382483100880706,1222.0,186.0,1222.0,49.0,64.0,73.0,744.0,8148.767361435672,32.59506944574269,37.0,3.675675675675676,148.0,598.5924455292403,145.4075544707597
1223,0.25,4339.503882821653,4.339503882821653,1223.0,151.0,1223.0,51.0,25.0,75.0,604.0,5645.200121501517,22.58080048600607,20.0,3.6,80.0,595.686479922273,8.313520077727048
1224,0.25,3999.16431395086,3.99916431395086,1224.0,295.0,1224.0,92.0,110.0,93.0,1180.0,1224.2637852142489,4.897055140856995,0.0,0.0,0.0,207.86053999384808,972.1394600061519
1225,0.25,4725.657332805788,4.725657332805788,1225.0,258.0,1225.0,50.0,43.0,165.0,1032.0,3746.732053950879,14.986928215803516,4.0,3.25,16.0,496.58353504396683,535.4164649560332
1226,0.25,4353.89822670942,4.35389822670942,1226.0,596.0,1226.0,195.0,190.0,211.0,2384.0,5873.915499778131,23.49566199911252,15.0,3.2,60.0,544.9486194668514,1839.0513805331486
1227,0.25,3936.223886932116,3.936223886932116,1227.0,77.0,1227.0,30.0,19.0,28.0,308.0,4936.349705988809,19.745398823955234,14.0,3.5714285714285716,56.0,651.2729414190899,-343.2729414190899
1228,0.25,3855.9982713346417,3.855998271334642,1228.0,520.0,1228.0,192.0,138.0,190.0,2080.0,6067.873613984017,24.271494455936068,21.0,3.0952380952380953,84.0,605.1292723640222,1474.8707276359778
1229,0.25,4271.314800748528,4.271314800748528,1229.0,80.0,1229.0,19.0,18.0,43.0,320.0,5369.294326933172,21.47717730773269,19.0,3.736842105263158,76.0,622.3092319298814,-302.30923192988143
1230,0.25,4076.640075794551,4.076640075794551,1230.0,176.0,1230.0,74.0,49.0,53.0,704.0,6480.347796253738,25.92139118501495,18.0,3.3333333333333335,72.0,601.7627854171851,102.23721458281489
1231,0.25,3609.887423115369,3.609887423115369,1231.0,8.0,1231.0,3.0,4.0,1.0,32.0,6197.148126767955,24.78859250707182,25.0,3.2,100.0,653.9083831038429,-621.9083831038429
1232,0.25,3450.5291460944495,3.4505291460944494,1232.0,121.0,1232.0,49.0,30.0,42.0,484.0,4451.036879450987,17.804147517803948,13.0,3.3076923076923075,52.0,690.3389143384286,-206.3389143384286
1233,0.25,3358.722311910894,3.3587223119108938,1233.0,152.0,1233.0,39.0,59.0,54.0,608.0,3947.113344222837,15.788453376891347,18.0,3.3333333333333335,72.0,706.9012450815983,-98.90124508159829
1234,0.25,3828.3708058501534,3.8283708058501533,1234.0,229.0,1234.0,16.0,58.0,155.0,916.0,5988.794452728797,23.95517781091519,20.0,3.3,80.0,634.0691285332116,281.9308714667884
1236,0.25,4830.191577044049,4.830191577044049,1236.0,87.0,1236.0,26.0,33.0,28.0,348.0,3424.972362719169,13.699889450876675,5.0,3.4,20.0,499.51076466710145,-151.51076466710145
1237,0.25,4649.506183609219,4.649506183609219,1237.0,177.0,1237.0,36.0,69.0,72.0,708.0,2574.2208472998327,10.296883389199332,9.0,3.4444444444444446,36.0,531.3753037367401,176.62469626325992
1238,0.25,4167.5147738740925,4.1675147738740925,1238.0,220.0,1238.0,65.0,72.0,83.0,880.0,5733.924848976283,22.935699395905132,16.0,3.4375,64.0,601.1182772570118,278.88172274298825
1239,0.25,4949.0172693072245,4.949017269307225,1239.0,158.0,1239.0,43.0,53.0,62.0,632.0,3743.636573445153,14.97454629378061,10.0,3.7,40.0,518.5812063935288,113.41879360647124
1240,0.25,4386.689363396911,4.386689363396911,1240.0,170.0,1240.0,50.0,65.0,55.0,680.0,3098.906664936545,12.39562665974618,10.0,3.7,40.0,600.9336607107151,79.06633928928488
1241,0.25,4246.1983763612225,4.246198376361223,1241.0,89.0,1241.0,30.0,23.0,36.0,356.0,3299.242969437754,13.196971877751015,7.0,3.5714285714285716,28.0,605.8774351461449,-249.87743514614488
1242,0.25,3712.2058523809187,3.7122058523809187,1242.0,160.0,1242.0,48.0,45.0,67.0,640.0,5001.613666073551,20.006454664294203,21.0,3.142857142857143,84.0,631.9768169510828,8.02318304891719
1243,0.25,4572.205685650357,4.572205685650357,1243.0,298.0,1243.0,100.0,80.0,118.0,1192.0,3814.153774831684,15.256615099326737,9.0,3.3333333333333335,36.0,529.187613852913,662.812386147087
1244,0.25,3956.682508229832,3.956682508229832,1244.0,58.0,1244.0,22.0,9.0,27.0,232.0,2330.5777180688497,9.322310872275398,5.0,3.4,20.0,627.4354415844227,-395.43544158442273
1245,0.25,3839.7378620182544,3.8397378620182545,1245.0,125.0,1245.0,63.0,27.0,35.0,500.0,5322.106626405441,21.288426505621764,18.0,3.388888888888889,72.0,643.2110594432183,-143.21105944321835
1246,0.25,3888.245237828664,3.888245237828664,1246.0,60.0,1246.0,15.0,23.0,22.0,240.0,7768.44125936381,31.07376503745524,29.0,3.413793103448276,116.0,639.1349133089177,-399.1349133089177
1247,0.25,3340.041878331592,3.340041878331592,1247.0,117.0,1247.0,21.0,14.0,82.0,468.0,6288.012029876327,25.152048119505306,28.0,3.2142857142857144,112.0,695.1638181084,-227.16381810840005
1248,0.25,3522.159580423688,3.522159580423688,1248.0,130.0,1248.0,40.0,49.0,41.0,520.0,5005.620034063869,20.022480136255474,6.0,3.6666666666666665,24.0,723.4908436184028,-203.49084361840278
1249,0.25,3395.694911132271,3.395694911132271,1249.0,243.0,1249.0,72.0,50.0,121.0,972.0,6654.682721288819,26.618730885155276,29.0,3.103448275862069,116.0,673.5384658129569,298.46153418704307
1250,0.25,3052.523711613505,3.052523711613505,1250.0,181.0,1250.0,56.0,52.0,73.0,724.0,3769.388986541522,15.077555946166088,2.0,3.5,8.0,772.00620084708,-48.00620084707998
1251,0.25,2905.690422168528,2.905690422168528,1251.0,169.0,1251.0,7.0,8.0,154.0,676.0,6236.932774997499,24.947731099989998,22.0,3.3636363636363638,88.0,776.9314660268894,-100.93146602688944
1252,0.25,2840.4528950505673,2.8404528950505674,1252.0,84.0,1252.0,26.0,12.0,46.0,336.0,4006.8323733760612,16.027329493504244,8.0,3.25,32.0,772.6701576480297,-436.67015764802966
1253,0.25,2594.2617273426763,2.5942617273426762,1253.0,258.0,1253.0,119.0,45.0,94.0,1032.0,0.0,0.0,0.0,0.0,0.0,413.60735580668455,618.3926441933154
1254,0.25,2341.0394163690335,2.3410394163690333,1254.0,16.0,1254.0,4.0,7.0,5.0,64.0,3924.305592631048,15.697222370524193,3.0,3.3333333333333335,12.0,855.9400590611765,-791.9400590611765
1255,0.25,3865.552166431725,3.865552166431725,1255.0,10.0,1255.0,2.0,3.0,5.0,40.0,8357.130109264654,33.428520437058616,28.0,3.142857142857143,112.0,609.5193767460931,-569.5193767460931
1256,0.25,4221.061209208624,4.221061209208624,1256.0,263.0,1256.0,86.0,69.0,108.0,1052.0,4552.206336852247,18.208825347408986,13.0,3.1538461538461537,52.0,558.7913570783087,493.2086429216913
1257,0.25,3269.9793868529905,3.2699793868529907,1257.0,293.0,1257.0,56.0,49.0,188.0,1172.0,4183.57971795474,16.73431887181896,14.0,3.5,56.0,740.1599979947023,431.8400020052977
